word,language,
aceh,id,
adil,id,
adaptasi,id,
administratif,id,
administrasi,id,
adopsi,id,
advokasi,id,
afiliasi,id,
afirmasi,id,
agenda,id,
agresif,id,
agrikultur,id,
agraria,id,
akademisi,id,
akselerasi,id,
akseptabilitas,id,
akses,id,
akomodasi,id,
akuntabel,id,
akuntabilitas,id,
akurat,id,
aliansi,id,
alokasi,id,
alternatif,id,
amandemen,id,
ambigu,id,
ambisius,id,
amburadul,id,
amnesti,id,
analis,id,
analisis,id,
anarkis,id,
anggaran,id,
anti-kritik,id,
antisipasi,id,
antusias,id,
aparatur,id,
apbn,id,
apbd,id,
apresiasi,id,
arogan,id,
arsip,id,
aspirasi,id,
aset,id,
asimetris,id,
asumsi,id,
audiensi,id,
bagus,id,
baik,id,
bali,id,
banding,id,
bangka,id,
belitung,id,
bangsa,id,
bantuan,id,
banten,id,
bappenas,id,
basarnas,id,
bawaslu,id,
bebas,id,
beban,id,
belum,id,
bencana,id,
bengkulu,id,
berdaulat,id,
berdaya,id,
berhasil,id,
berintegritas,id,
berjanji,id,
berkelanjutan,id,
berpihak,id,
birokrasi,id,
bisa,id,
bkn,id,
bkpm,id,
blunder,id,
bnn,id,
bobrok,id,
bohong,id,
boikot,id,
bpkh,id,
bpk,id,
bpkp,id,
bumn,id,
bupati,id,
buruh,id,
buruk,id,
buzzer,id,
cepat,id,
cemerlang,id,
dahsyat,id,
daerah,id,
damai,id,
dampak,id,
dan,id,
dari,id,
daya,id,
saing,id,
beli,id,
debat,id,
defisit,id,
deflasi,id,
degradasi,id,
deklarasi,id,
delegasi,id,
demografi,id,
demokratis,id,
demokrasi,id,
demonstrasi,id,
denial,id,
desentralisasi,id,
destabilisasi,id,
di,id,
dialog,id,
digital,id,
dinamis,id,
dinasti,id,
diskresi,id,
diskriminasi,id,
diskriminatif,id,
disparitas,id,
distribusi,id,
dividen,id,
dpr,id,
dprd,id,
efektif,id,
efektivitas,id,
efisien,id,
efisiensi,id,
ekonomi,id,
ekosistem,id,
eksekutif,id,
eksploitasi,id,
ekspor,id,
ekstensif,id,
elektabilitas,id,
elemen,id,
elite,id,
embargo,id,
energi,id,
entitas,id,
evaluasi,id,
fantastis,id,
fasilitas,id,
fasilitasi,id,
feodal,id,
filantropi,id,
fiskal,id,
fundamental,id,
gagal,id,
gagasan,id,
ganjar,id,
gender,id,
gentrifikasi,id,
gibran,id,
global,id,
globalisasi,id,
golput,id,
gorontalo,id,
grasi,id,
gubernur,id,
hambat,id,
ham,id,
handal,id,
harapan,id,
harmoni,id,
hebat,id,
hegemoni,id,
hilirisasi,id,
hoaks,id,
hukum,id,
humanis,id,
identitas,id,
ideologi,id,
ikn,id,
iklim,id,
ilegal,id,
impor,id,
implementasi,id,
independen,id,
independensi,id,
indonesia,id,
industrialisasi,id,
industri,id,
inflasi,id,
informasi,id,
infrastruktur,id,
ingkar,id,
inisiatif,id,
inklusif,id,
inovasi,id,
inovatif,id,
insentif,id,
inspeksi,id,
institusi,id,
instruksi,id,
integrasi,id,
integritas,id,
intelektual,id,
intervensi,id,
investasi,id,
investigasi,id,
investor,id,
isu,id,
itu,id,
jambi,id,
jaminan,id,
janji,id,
jangan,id,
jargon,id,
jawa,id,
barat,id,
tengah,id,
timur,id,
jelek,id,
jokowi,id,
juara,id,
yudikatif,id,
yudisial,id,
yurisdiksi,id,
kabupaten,id,
kacau,id,
kader,id,
kalimantan,id,
kampanye,id,
kapabilitas,id,
kapasitas,id,
kapital,id,
karakter,id,
karir,id,
kasasi,id,
kasus,id,
katalis,id,
ke,id,
keadilan,id,
keamanan,id,
keanekaragaman,id,
kebangsaan,id,
kebijakan,id,
keberhasilan,id,
keberlanjutan,id,
kebutuhan,id,
kecamatan,id,
kedaulatan,id,
kehutanan,id,
kelautan,id,
kelemahan,id,
kelembagaan,id,
kementerian,id,
kemiskinan,id,
kemunduran,id,
kendala,id,
kepastian,id,
kepemimpinan,id,
kepentingan,id,
kepulauan,id,
keren,id,
kerja,id,
kerjasama,id,
kesenjangan,id,
kesejahteraan,id,
kesetaraan,id,
kesehatan,id,
ketahanan,id,
ketenagakerjaan,id,
keuangan,id,
kewenangan,id,
keyakinan,id,
khusus,id,
kinerja,id,
kkn,id,
klarifikasi,id,
klausul,id,
koalisi,id,
kolaborasi,id,
kolusi,id,
komitmen,id,
kompeten,id,
komisi,id,
komoditas,id,
kompensasi,id,
kompetitif,id,
kompleks,id,
komprehensif,id,
kompromi,id,
kondusif,id,
konfederasi,id,
konflik,id,
konfirmasi,id,
konglomerat,id,
konkret,id,
konsensus,id,
konservatif,id,
konsisten,id,
konsolidasi,id,
konstituen,id,
konstitusi,id,
konstruktif,id,
konsumen,id,
konsumtif,id,
konteks,id,
kontribusi,id,
kontrol,id,
kontroversi,id,
konvensional,id,
koordinasi,id,
koperasi,id,
korporasi,id,
korupsi,id,
koruptor,id,
kpk,id,
kpu,id,
kreatif,id,
kredibel,id,
kredibilitas,id,
krisis,id,
kriteria,id,
kritis,id,
krusial,id,
kuhp,id,
kurang,id,
kualitas,id,
kuantitas,id,
kuorum,id,
lamban,id,
lampung,id,
lan,id,
lapangan,id,
laten,id,
legal,id,
legalitas,id,
legislasi,id,
legislatif,id,
lembaga,id,
liberal,id,
likuiditas,id,
lkpp,id,
lobi,id,
logis,id,
logistik,id,
luar,id,
biasa,id,
mahal,id,
maju,id,
makmur,id,
maladministrasi,id,
malpraktik,id,
maluku,id,
mandat,id,
mandatori,id,
mandiri,id,
manifes,id,
manifestasi,id,
manufaktur,id,
mantap,id,
maritim,id,
mekanisme,id,
momentum,id,
monopoli,id,
moratorium,id,
mpr,id,
mubazir,id,
mufakat,id,
multinasional,id,
mundur,id,
musyawarah,id,
mutu,id,
nasional,id,
nasionalisme,id,
negarawan,id,
negatif,id,
negosiasi,id,
nepotisme,id,
neraca,id,
netral,id,
nilai,id,
tambah,id,
nominasi,id,
non-pemerintah,id,
norma,id,
nusantara,id,
nusa,id,
tenggara,id,
objektif,id,
objektivitas,id,
obligasi,id,
observasi,id,
oligarki,id,
ombudsman,id,
operasional,id,
opini,id,
oposisi,id,
optimal,id,
optimis,id,
opsi,id,
organik,id,
organisasi,id,
otoritas,id,
otoriter,id,
otonomi,id,
pada,id,
pajak,id,
pakar,id,
paket,id,
pancasila,id,
pandemi,id,
pangan,id,
panggilan,id,
papua,id,
paradigma,id,
paradoks,id,
parah,id,
parlemen,id,
partai,id,
partisipasi,id,
partisipatif,id,
pasokan,id,
pasal,id,
pasif,id,
patut,id,
pdb,id,
pemilu,id,
pemberdayaan,id,
pemerintah,id,
pemerintahan,id,
pemulihan,id,
pendapatan,id,
pendidikan,id,
pengangguran,id,
pengawasan,id,
pengusaha,id,
penting,id,
penyalahgunaan,id,
peraturan,id,
perbaikan,id,
perdagangan,id,
perda,id,
perekonomian,id,
perikanan,id,
perizinan,id,
perkebunan,id,
perlindungan,id,
permanen,id,
pers,id,
persaingan,id,
perspektif,id,
pertahanan,id,
pertanian,id,
pertanggungjawaban,id,
pertumbuhan,id,
perumahan,id,
pesimis,id,
petahana,id,
petisi,id,
pilkada,id,
pluralisme,id,
pln,id,
polri,id,
politik,id,
populasi,id,
populisme,id,
populitas,id,
positif,id,
potensi,id,
prabowo,id,
pragmatis,id,
prakarsa,id,
praktik,id,
prasyarat,id,
preseden,id,
presiden,id,
preventif,id,
prioritas,id,
privatisasi,id,
pro-rakyat,id,
proaktif,id,
procedural,id,
produsen,id,
produktif,id,
progresif,id,
program,id,
propaganda,id,
proporsional,id,
proteksi,id,
protes,id,
protokol,id,
provinsi,id,
provokasi,id,
publik,id,
pusat,id,
radikal,id,
radikalisme,id,
rakyat,id,
rancangan,id,
rasional,id,
realisasi,id,
realistis,id,
resiprokal,id,
reforma,id,
reformasi,id,
regional,id,
regulasi,id,
rehabilitasi,id,
relevan,id,
represif,id,
reputasi,id,
resesi,id,
resolusi,id,
respon,id,
responsif,id,
restrukturisasi,id,
retorika,id,
revisi,id,
revolusi,id,
riau,id,
riset,id,
risiko,id,
ruu,id,
saham,id,
sangat,id,
sanksi,id,
sasaran,id,
sejahtera,id,
sektor,id,
sekali,id,
selamat,id,
sentimen,id,
sentral,id,
sentralisasi,id,
serikat,id,
sewenang-wenang,id,
signifikan,id,
simulasi,id,
simultan,id,
sinkronisasi,id,
sipil,id,
sistem,id,
sistematis,id,
slogan,id,
sme,id,
solusi,id,
solutif,id,
sosial,id,
sosialisasi,id,
souverenitas,id,
sdm,id,
spesifik,id,
spekulasi,id,
stabilitas,id,
stabil,id,
staf,id,
stagnan,id,
standar,id,
startup,id,
status,quo,id
stimulus,id,
strategis,id,
struktur,id,
subsidi,id,
substansial,id,
substantif,id,
sudah,id,
sukses,id,
suksesi,id,
sulawesi,id,
sulit,id,
sumatera,id,
sumber,id,
daya,id,
supremasi,id,
surplus,id,
survei,id,
swasembada,id,
taktis,id,
tangguh,id,
tanggung,id,
jawab,id,
tantangan,id,
target,id,
tata,id,
kelola,ruang,id
teknis,id,
teknologi,id,
telkom,id,
terbaik,id,
terbuka,id,
terpercaya,id,
terdepan,id,
terdakwa,id,
tersangka,id,
tidak,id,
tindakan,id,
tni,id,
toleransi,id,
transisi,id,
transnasional,id,
transparansi,id,
transparan,id,
transportasi,id,
umkm,id,
undang-undang,id,
upah,id,
urbanisasi,id,
urgensi,id,
utang,id,
utara,id,
valid,id,
validasi,id,
valuta,id,
verifikasi,id,
victim,id,
village,id,
visi,id,
visioner,id,
vital,id,
vokasi,id,
volatilitas,id,
vonis,id,
wakil,id,
walikota,id,
wajib,id,
wacana,id,
wewenang,id,
yogyakarta,id,
yudikatif,id,
yudisial,id,
yurisdiksi,id,
zalim,id,
zona,id,
ability,en,
abolish,en,
abuse,en,
academic,en,
acceleration,en,
acceptability,en,
access,en,
accountable,en,
accountability,en,
accurate,en,
act,en,
action,en,
adaptation,en,
administration,en,
administrative,en,
adoption,en,
advantage,en,
advocacy,en,
affirmation,en,
affiliation,en,
agenda,en,
aggressive,en,
agree,en,
agriculture,en,
alliance,en,
allocation,en,
alternative,en,
amazing,en,
ambiguous,en,
ambitious,en,
amendment,en,
analysis,en,
analyst,en,
anarchist,en,
and,en,
anti-criticism,en,
appeal,en,
appreciate,en,
approve,en,
arbitrary,en,
archive,en,
are,en,
arrogant,en,
as,en,
aspiration,en,
asset,en,
asymmetric,en,
assumption,en,
at,en,
audience,en,
authoritarian,en,
authority,en,
awesome,en,
backward,en,
bad,en,
balance,en,
be,en,
because,en,
been,en,
best,en,
bill,en,
blunder,en,
boycott,en,
brilliant,en,
broken,en,
budget,en,
build,en,
bureaucracy,en,
business,en,
but,en,
campaign,en,
can,en,
capability,en,
capacity,en,
capital,en,
career,en,
case,en,
catalyst,en,
central,en,
centralization,en,
champion,en,
chaotic,en,
character,en,
charity,en,
city,en,
civil,en,
claim,en,
clarification,en,
clause,en,
climate,en,
coalition,en,
collaboration,en,
collusion,en,
commission,en,
commitment,en,
commodity,en,
common,en,
communication,en,
community,en,
compensation,en,
competent,en,
competitive,en,
complex,en,
comprehensive,en,
compromise,en,
conducive,en,
confederation,en,
confirmation,en,
conflict,en,
conglomerate,en,
congratulations,en,
consensus,en,
conservative,en,
consistent,en,
consolidation,en,
constituency,en,
constitution,en,
constitutional,en,
constructive,en,
consumer,en,
consumption,en,
context,en,
contribution,en,
control,en,
controversy,en,
conventional,en,
cooperation,en,
coordination,en,
corporation,en,
corrupt,en,
corruption,en,
court,en,
creative,en,
credibility,en,
credible,en,
crisis,en,
criteria,en,
critical,en,
criticism,en,
crucial,en,
culture,en,
currency,en,
data,en,
debate,en,
debt,en,
decrease,en,
defendant,en,
deficit,en,
deflation,en,
degradation,en,
delegation,en,
demand,en,
democracy,en,
democratic,en,
demography,en,
demonstration,en,
denial,en,
dependable,en,
deregulation,en,
destabilization,en,
detrimental,en,
developed,en,
development,en,
dialogue,en,
digital,en,
difficult,en,
disagree,en,
disappointing,en,
discourse,en,
discretion,en,
discrimination,en,
disparity,en,
distribution,en,
dividend,en,
domestic,en,
don't,en,
dynasty,en,
dynamic,en,
economy,en,
ecosystem,en,
education,en,
effective,en,
effectiveness,en,
efficient,en,
efficiency,en,
election,en,
electorate,en,
element,en,
elite,en,
embargo,en,
empowerment,en,
encourage,en,
energy,en,
entity,en,
environment,en,
equality,en,
evaluation,en,
excellent,en,
executive,en,
expansion,en,
expensive,en,
exploitation,en,
export,en,
extensive,en,
extraordinary,en,
facility,en,
fail,en,
failure,en,
fair,en,
fantastic,en,
fast,en,
federal,en,
feudal,en,
finance,en,
fiscal,en,
fishery,en,
for,en,
forestry,en,
foreign,en,
forward,en,
foundation,en,
framework,en,
from,en,
fundamental,en,
funding,en,
gdp,en,
gender,en,
gentrification,en,
global,en,
globalization,en,
good,en,
governance,en,
government,en,
great,en,
growth,en,
guarantee,en,
had,en,
harmony,en,
has,en,
have,en,
health,en,
hegemony,en,
hoax,en,
hope,en,
housing,en,
human,en,
rights,en,
humanist,en,
ideology,en,
illegal,en,
implementation,en,
import,en,
in,en,
incompetent,en,
increase,en,
incumbent,en,
independent,en,
independence,en,
industry,en,
industrialization,en,
inequality,en,
inefficient,en,
inflation,en,
influence,en,
information,en,
infrastructure,en,
initiative,en,
innovative,en,
innovation,en,
input,en,
inspection,en,
institution,en,
instruction,en,
integration,en,
integrity,en,
intellectual,en,
international,en,
intervention,en,
investment,en,
investigation,en,
investor,en,
is,en,
issue,en,
job,en,
judiciary,en,
judicial,en,
jurisdiction,en,
justice,en,
labor,en,
law,en,
leadership,en,
leading,en,
legal,en,
legality,en,
legislation,en,
legislative,en,
less,en,
liberal,en,
lie,en,
liquidity,en,
lobby,en,
local,en,
logic,en,
logistics,en,
mandate,en,
mandatory,en,
manifesto,en,
manufacturing,en,
market,en,
maritime,en,
massive,en,
mechanism,en,
media,en,
mediation,en,
military,en,
minister,en,
ministry,en,
minority,en,
mobilization,en,
momentum,en,
monetary,en,
monopoly,en,
moratorium,en,
multinational,en,
nation,en,
national,en,
nationalism,en,
negotiation,en,
nepotism,en,
neutral,en,
nomination,en,
non-governmental,en,
norm,en,
not,en,
objective,en,
objectivity,en,
observation,en,
obstacle,en,
obstruct,en,
oligarchy,en,
on,en,
operation,en,
opinion,en,
opposition,en,
optimal,en,
optimistic,en,
option,en,
or,en,
organic,en,
organization,en,
output,en,
parliament,en,
participation,en,
participatory,en,
party,en,
passive,en,
people,en,
performance,en,
permanent,en,
pessimistic,en,
petition,en,
philanthropy,en,
pluralism,en,
policy,en,
political,en,
politics,en,
poor,en,
population,en,
populism,en,
positive,en,
potential,en,
poverty,en,
power,en,
pragmatic,en,
precedent,en,
president,en,
press,en,
preventive,en,
priority,en,
private,en,
privatization,en,
pro-people,en,
proactive,en,
problem,en,
procedural,en,
producer,en,
productive,en,
professional,en,
progressive,en,
program,en,
propaganda,en,
proportional,en,
propose,en,
prosperous,en,
protection,en,
protest,en,
protocol,en,
proud,en,
province,en,
provocation,en,
public,en,
quality,en,
quantity,en,
quorum,en,
radical,en,
radicalism,en,
ratify,en,
rational,en,
realization,en,
realistic,en,
reciprocal,en,
reform,en,
region,en,
regional,en,
regulation,en,
regulatory,en,
rehabilitation,en,
reject,en,
relevant,en,
reliable,en,
report,en,
repressive,en,
reputation,en,
research,en,
resilience,en,
resistance,en,
resolution,en,
resource,en,
response,en,
responsive,en,
responsibility,en,
restructuring,en,
revenue,en,
review,en,
revision,en,
revolution,en,
rhetoric,en,
risk,en,
saction,en,
salary,en,
secure,en,
security,en,
sentiment,en,
significant,en,
simulation,en,
simultaneous,en,
slander,en,
slogan,en,
slow,en,
sme,en,
social,en,
socialism,en,
society,en,
solution,en,
sovereignty,en,
specific,en,
speculation,en,
speech,en,
stability,en,
stable,en,
staff,en,
stagnant,en,
standard,en,
startup,en,
state,en,
stimulus,en,
strategic,en,
strategy,en,
structure,en,
subsidy,en,
substantial,en,
substantive,en,
success,en,
successful,en,
succession,en,
supervision,en,
supply,en,
support,en,
supremacy,en,
surplus,en,
survey,en,
sustainability,en,
sustainable,en,
synchronization,en,
synergy,en,
system,en,
systematic,en,
tactic,en,
target,en,
tax,en,
technical,en,
technology,en,
termination,en,
terrorism,en,
that,en,
the,en,
these,en,
this,en,
those,en,
to,en,
tolerance,en,
trade,en,
tradition,en,
traditional,en,
training,en,
transition,en,
transnational,en,
transparency,en,
transparent,en,
transportation,en,
trust,en,
trustworthy,en,
unemployment,en,
unfair,en,
union,en,
urbanization,en,
urgency,en,
valid,en,
validation,en,
value,en,
verification,en,
verdict,en,
very,en,
vice,en,
victim,en,
village,en,
vision,en,
visionary,en,
vital,en,
vocational,en,
volatility,en,
vote,en,
voter,en,
vulnerable,en,
wages,en,
was,en,
wealth,en,
welfare,en,
were,en,
which,en,
will,en,
with,en,
work,en,
worker,en,
zone,en,
saya,id,
kamu,id,
dia,id,
kita,id,
mereka,id,
ini,id,
itu,id,
ada,id,
adalah,id,
di,id,
ke,id,
dari,id,
dan,id,
atau,id,
tapi,id,
juga,id,
sangat,id,
tidak,id,
bukan,id,
sudah,id,
belum,id,
akan,id,
harus,id,
bisa,id,
jadi,id,
suka,id,
banget,id,
sekali,id,
karena,id,
dengan,id,
untuk,id,
pada,id,
seperti,id,
lebih,id,
kurang,id,
baik,id,
buruk,id,
benar,id,
salah,id,
pemerintah,id,
rakyat,id,
kebijakan,id,
program,id,
presiden,id,
wakil,id,
kinerja,id,
dukungan,id,
kritik,id,
masyarakat,id,
negara,id,
bangsa,id,
maju,id,
mundur,id,
ekonomi,id,
pendidikan,id,
kesehatan,id,
gratis,id,
i,en,
you,en,
he,en,
she,en,
it,en,
we,en,
they,en,
is,en,
am,en,
are,en,
was,en,
were,en,
be,en,
have,en,
has,en,
had,en,
do,en,
does,en,
did,en,
a,en,
an,en,
the,en,
and,en,
but,en,
or,en,
for,en,
with,en,
at,en,
from,en,
to,en,
in,en,
on,en,
of,en,
by,en,
about,en,
like,en,
love,en,
hate,en,
good,en,
bad,en,
great,en,
terrible,en,
amazing,en,
horrible,en,
support,en,
against,en,
policy,en,
program,en,
president,en,
vice,en,
performance,en,
government,en,
people,en,
public,en,
nation,en,
country,en,
economy,en,
education,en,
health,en,
free,en,
full,en,
very,en,
not,en,
no,en,
yes,en,
bagus,id,
jelek,id,
mantap,id,
keren,id,
parah,id,
kacau,id,
pemerintahan,id,
kebijakan,id,
program,id,
anggaran,id,
pembangunan,id,
infrastruktur,id,
korupsi,id,
hukum,id,
keadilan,id,
demokrasi,id,
rakyat,id,
masyarakat,id,
menteri,id,
kabinet,id,
janji,id,
kampanye,id,
hasil,id,
kerja,id,
nyata,id,
efektif,id,
efisien,id,
solusi,id,
masalah,id,
tantangan,id,
harapan,id,
kecewa,id,
puas,id,
setuju,id,
tolak,id,
tetapi,id,
namun,id,
walaupun,id,
meskipun,id,
karena,id,
sebab,id,
akibat,id,
jika,id,
kalau,id,
mungkin,id,
pasti,id,
selalu,id,
kadang,id,
sering,id,
jarang,id,
belum,id,
sudah,id,
government,en,
policy,en,
program,en,
budget,en,
development,en,
infrastructure,en,
corruption,en,
law,en,
justice,en,
democracy,en,
people,en,
society,en,
minister,en,
cabinet,en,
promise,en,
campaign,en,
result,en,
work,en,
real,en,
effective,en,
efficient,en,
solution,en,
problem,en,
challenge,en,
hope,en,
disappointed,en,
satisfied,en,
agree,en,
reject,en,
however,en,
although,en,
because,en,
if,en,
maybe,en,
sure,en,
always,en,
sometimes,en,
often,en,
rarely,en,
not,en,
yet,en,
already,en,
performance,en,
analysis,en,
system,en,
data,en,
model,en,
evaluation,en,
prediction,en,
sentiment,en,